horodatage,temperature,humidite
2023-05-12 11:03:17,21.5,44.4
2023-05-12 11:03:22,21.5,44.4
2023-05-12 11:03:29,21.5,44.5
2023-05-12 11:03:36,21.5,44.5
2023-05-12 11:03:41,21.5,44.5
2023-05-12 11:03:47,21.5,44.6
2023-05-12 11:03:52,21.5,44.6
2023-05-12 11:03:57,21.5,44.7
2023-05-12 11:04:03,21.5,44.7
2023-05-12 11:04:08,21.5,44.7
2023-05-12 11:04:13,21.5,44.6
2023-05-12 11:04:23,21.5,44.5
2023-05-12 11:04:28,21.5,44.5
2023-05-12 11:04:35,21.5,44.5
2023-05-12 11:04:44,21.6,44.5
2023-05-12 11:04:52,21.6,44.5
2023-05-12 11:05:00,21.6,44.5
2023-05-12 11:05:06,21.6,44.5
2023-05-12 11:05:13,21.6,44.4
2023-05-12 11:05:25,21.7,44.3
2023-05-12 11:05:31,21.7,44.3
2023-05-12 11:05:37,21.7,44.4
2023-05-12 11:05:42,21.7,44.3
2023-05-12 11:05:47,21.7,44.2
2023-05-12 11:05:54,21.7,44.4
2023-05-12 11:06:00,21.7,44.4
2023-05-12 11:06:08,21.7,44.3
2023-05-12 11:06:13,21.7,44.3
2023-05-12 11:06:18,21.7,44.3
2023-05-12 11:06:24,21.7,44.3
2023-05-12 11:06:30,21.7,44.3
2023-05-12 11:06:36,21.7,44.2
2023-05-12 11:06:41,21.7,44.1
2023-05-12 11:06:47,21.7,44.1
2023-05-12 11:06:55,21.7,44.1
2023-05-12 11:07:03,21.7,44.2
2023-05-12 11:07:09,21.7,44.2
2023-05-12 11:07:16,21.7,44.1
2023-05-12 11:07:21,21.7,44.2
2023-05-12 11:07:27,21.7,44.1
2023-05-12 11:07:32,21.7,44.2
2023-05-12 11:07:39,21.7,44.1
2023-05-12 11:07:46,21.7,44.1
2023-05-12 11:07:54,21.7,44.1
2023-05-12 11:07:59,21.7,44.1
2023-05-12 11:08:04,21.8,44.1
2023-05-12 11:08:11,21.8,44.0
2023-05-12 11:08:18,21.8,43.9
2023-05-12 11:08:23,21.8,43.9
2023-05-12 11:08:29,21.8,43.9
2023-05-12 11:08:39,21.8,44.0
2023-05-12 11:08:45,21.8,44.0
2023-05-12 11:08:52,21.8,43.9
2023-05-12 11:08:58,21.8,43.9
2023-05-12 11:09:05,21.8,43.7
2023-05-12 11:09:14,21.8,43.7
2023-05-12 11:09:20,21.9,43.7
2023-05-12 11:09:25,21.9,43.7
2023-05-12 11:09:32,21.9,43.7
2023-05-12 11:09:37,21.9,43.7
2023-05-12 11:09:43,21.9,43.7
2023-05-12 11:09:48,21.9,43.7
2023-05-12 11:09:53,21.9,43.7
2023-05-12 11:10:00,21.9,43.7
2023-05-12 11:10:05,21.9,43.7
2023-05-12 11:10:16,21.9,43.7
2023-05-12 11:10:24,21.9,43.4
2023-05-12 11:10:33,45.9,43.4
2023-05-30 09:04:41,24.8,36.8
2023-05-30 09:04:46,24.8,36.8
2023-05-30 09:04:52,24.8,36.9
2023-05-30 09:04:57,24.8,36.9
2023-05-30 09:05:02,24.8,36.8
2023-05-30 09:05:19,24.8,36.9
2023-05-30 09:05:24,24.8,36.8
2023-05-30 09:05:35,24.8,36.8
2023-05-30 09:05:40,24.8,36.8
2023-05-30 09:05:46,24.8,36.8
2023-05-30 09:06:12,24.8,36.9
2023-05-30 09:06:34,24.8,36.7
2023-05-30 09:06:50,24.8,36.7
2023-05-30 09:06:55,24.8,36.7
2023-05-30 09:07:06,24.8,36.7
2023-05-30 09:07:17,24.8,36.7
2023-05-30 09:07:38,24.8,36.8
2023-05-30 09:07:49,24.8,36.8
2023-05-30 09:07:54,24.8,36.7
2023-05-30 09:08:05,24.7,36.8
2023-05-30 09:08:10,24.7,36.8
2023-05-30 09:08:21,24.7,36.7
2023-05-30 09:08:26,24.7,36.8
2023-05-30 09:08:37,24.7,36.8
2023-05-30 09:08:53,24.8,36.7
2023-05-30 09:08:59,24.8,36.7
2023-05-30 09:09:04,24.8,36.7
2023-05-30 09:09:09,24.8,36.7
2023-05-30 09:09:20,24.8,36.6
2023-05-30 09:09:31,24.8,36.5
2023-05-30 09:09:36,24.8,36.5
2023-05-30 09:09:42,24.8,36.5
